epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,110.661,0.85164,1.39764,0.93048,1.03657,0.79562,0.84036,0.81489,0.6113,0.66997,0.73739,0.61218,0.3489,0.9618,1.75363,1.31126,1.08427,0.0140853,8.53429e-05,8.53429e-05
30,114.399,0.89946,1.51176,0.94393,1.08283,0.78811,0.81149,0.80626,0.6074,0.65765,0.71073,0.61313,0.3788,0.96748,1.72286,1.27162,1.08867,0.0110883,8.82707e-05,8.82707e-05
31,117.996,0.90542,1.39094,0.923,1.06272,0.77373,0.82033,0.79574,0.58531,0.65198,0.70035,0.61863,0.38877,0.97054,1.73936,1.23226,1.09272,0.00809119,9.11934e-05,9.11934e-05
32,121.748,0.84194,1.36125,0.89116,1.04109,0.7748,0.83685,0.8242,0.58519,0.68255,0.74202,0.65407,0.40144,0.96494,1.72504,1.17954,1.0878,0.00509411,9.41108e-05,9.41108e-05
33,125.401,0.92799,1.51763,0.91967,1.08103,0.82611,0.83673,0.83692,0.62478,0.73518,0.76053,0.71518,0.42796,0.89831,1.68829,1.14683,1.06042,0.00209702,9.70228e-05,9.70228e-05
34,129.015,0.80914,1.28535,0.87808,1.0329,0.81127,0.8461,0.83533,0.63976,0.73498,0.78017,0.72325,0.44032,0.87319,1.63316,1.10817,1.05108,9.89398e-05,9.89398e-05,9.89398e-05
35,132.623,0.83404,1.36868,0.85235,1.05072,0.80785,0.85999,0.85021,0.6497,0.73103,0.76982,0.7178,0.43931,0.85005,1.6089,1.06217,1.0393,9.88748e-05,9.88748e-05,9.88748e-05
36,136.271,0.81183,1.29008,0.8681,1.03543,0.78858,0.87719,0.85911,0.6574,0.72347,0.76517,0.70817,0.43874,0.84562,1.56418,1.03174,1.03257,9.88079e-05,9.88079e-05,9.88079e-05
37,139.954,0.79589,1.30081,0.82235,1.01778,0.77854,0.89184,0.83605,0.62969,0.70245,0.7698,0.71214,0.45099,0.88161,1.56426,1.04092,1.04138,9.87391e-05,9.87391e-05,9.87391e-05
38,143.68,0.80024,1.27549,0.83263,1.02935,0.80602,0.85486,0.83831,0.63094,0.75835,0.78939,0.74349,0.47845,0.8837,1.53591,1.03037,1.04275,9.86684e-05,9.86684e-05,9.86684e-05
39,147.368,0.87158,1.37098,0.8469,1.04764,0.83292,0.83701,0.85003,0.63916,0.78714,0.77401,0.75704,0.49219,0.86129,1.48187,1.00895,1.0284,9.85958e-05,9.85958e-05,9.85958e-05
40,150.914,0.80287,1.31844,0.83508,1.02109,0.81797,0.83349,0.85487,0.65011,0.79568,0.79534,0.77723,0.50469,0.85877,1.49176,1.00538,1.03299,9.85213e-05,9.85213e-05,9.85213e-05
41,154.701,0.82553,1.28543,0.82338,1.03257,0.80926,0.85536,0.85083,0.65252,0.76257,0.78842,0.7639,0.49856,0.84834,1.54547,0.99258,1.03508,9.84449e-05,9.84449e-05,9.84449e-05
42,158.296,0.8179,1.30344,0.83253,1.03748,0.77744,0.87397,0.84194,0.65947,0.78853,0.76979,0.76105,0.50036,0.78606,1.57151,0.98357,1.00943,9.83666e-05,9.83666e-05,9.83666e-05
43,161.862,0.78743,1.31704,0.80944,1.02601,0.79996,0.86925,0.84533,0.66461,0.80759,0.78465,0.76103,0.50806,0.77434,1.56021,0.96415,1.00017,9.82864e-05,9.82864e-05,9.82864e-05
44,165.597,0.79239,1.26395,0.81756,1.02534,0.76988,0.89489,0.8476,0.67125,0.8014,0.77137,0.75947,0.51188,0.75812,1.53439,0.96052,0.99884,9.82043e-05,9.82043e-05,9.82043e-05
45,169.215,0.75954,1.21287,0.77985,1.0274,0.79028,0.85204,0.84253,0.65592,0.81212,0.78129,0.76633,0.50183,0.80189,1.56978,0.97012,1.00504,9.81204e-05,9.81204e-05,9.81204e-05
46,173.262,0.7823,1.31362,0.80073,1.03316,0.77843,0.85073,0.84025,0.65218,0.80718,0.75905,0.76492,0.49422,0.83283,1.57726,0.98615,1.0277,9.80345e-05,9.80345e-05,9.80345e-05
47,176.948,0.79904,1.24492,0.76703,1.00021,0.77017,0.86925,0.85118,0.6503,0.7087,0.77821,0.74519,0.4817,0.84856,1.62335,0.99651,1.04427,9.79468e-05,9.79468e-05,9.79468e-05
48,180.46,0.79979,1.32027,0.79659,1.02349,0.75653,0.89703,0.8482,0.64929,0.69803,0.78943,0.74583,0.49137,0.85666,1.6243,0.99419,1.04154,9.78572e-05,9.78572e-05,9.78572e-05
49,183.939,0.76728,1.26702,0.76064,1.02154,0.80799,0.86217,0.84641,0.66086,0.73491,0.78118,0.76204,0.49734,0.84031,1.60567,0.97925,1.03521,9.77658e-05,9.77658e-05,9.77658e-05
50,187.609,0.78644,1.23987,0.77715,1.02087,0.81256,0.86658,0.85872,0.68641,0.75862,0.80226,0.7944,0.50886,0.82398,1.6065,0.93709,1.03335,9.76725e-05,9.76725e-05,9.76725e-05
51,191.242,0.74312,1.19729,0.75447,1.01833,0.81561,0.87553,0.86658,0.68999,0.74947,0.80991,0.78736,0.50795,0.80545,1.62402,0.88572,1.02241,9.75773e-05,9.75773e-05,9.75773e-05
52,194.95,0.77351,1.22214,0.75623,1.02971,0.81793,0.86374,0.85811,0.67881,0.78407,0.80317,0.79168,0.49736,0.80374,1.61924,0.86846,1.0297,9.74803e-05,9.74803e-05,9.74803e-05
53,198.547,0.76966,1.24481,0.776,1.01519,0.79597,0.86683,0.86976,0.69282,0.75868,0.83103,0.80591,0.51387,0.78105,1.55924,0.86341,1.019,9.73814e-05,9.73814e-05,9.73814e-05
54,201.971,0.76114,1.26784,0.74959,0.99435,0.79459,0.88002,0.86692,0.66044,0.74518,0.83776,0.79638,0.49596,0.79137,1.54748,0.86929,1.0106,9.72806e-05,9.72806e-05,9.72806e-05
55,205.515,0.79301,1.28386,0.77574,1.01993,0.8106,0.86215,0.84863,0.65279,0.77394,0.82092,0.79603,0.49149,0.78028,1.50756,0.86665,1.00247,9.7178e-05,9.7178e-05,9.7178e-05
56,209.162,0.73054,1.16277,0.75379,1.01098,0.76326,0.9029,0.84066,0.6627,0.77248,0.81114,0.78286,0.50353,0.76934,1.51387,0.87672,1.00701,9.70736e-05,9.70736e-05,9.70736e-05
57,212.737,0.7455,1.15653,0.72461,1.00013,0.78262,0.86577,0.83834,0.66668,0.76969,0.7931,0.77535,0.5025,0.77048,1.54046,0.88118,1.0145,9.69673e-05,9.69673e-05,9.69673e-05
58,216.497,0.73578,1.15067,0.74126,1.00005,0.80614,0.87107,0.85351,0.67622,0.76105,0.82386,0.77196,0.50466,0.77442,1.53208,0.86445,1.0198,9.68592e-05,9.68592e-05,9.68592e-05
59,220.014,0.78746,1.26124,0.73818,1.0126,0.81738,0.88841,0.86775,0.67622,0.8124,0.82312,0.79364,0.50291,0.78391,1.51265,0.85006,1.0164,9.67493e-05,9.67493e-05,9.67493e-05
60,223.552,0.76396,1.18345,0.74422,1.01437,0.84441,0.88905,0.86963,0.67479,0.82067,0.82731,0.80178,0.50445,0.78519,1.51324,0.84359,1.00856,9.66375e-05,9.66375e-05,9.66375e-05
61,227.222,0.7343,1.10923,0.72456,0.99348,0.84148,0.88554,0.8552,0.66994,0.78552,0.83955,0.78172,0.50214,0.76942,1.55004,0.86169,1.00121,9.65239e-05,9.65239e-05,9.65239e-05
62,230.842,0.72948,1.12902,0.72227,1.0103,0.82435,0.87171,0.83242,0.6514,0.77226,0.81832,0.76284,0.49122,0.77879,1.59305,0.8721,1.0036,9.64085e-05,9.64085e-05,9.64085e-05
63,234.401,0.72965,1.08619,0.7068,0.99162,0.78506,0.92593,0.85037,0.65993,0.77905,0.8427,0.77747,0.50239,0.77986,1.56746,0.84042,1.00026,9.62913e-05,9.62913e-05,9.62913e-05
64,238.008,0.74119,1.17736,0.71441,1.00797,0.81629,0.90917,0.877,0.69393,0.79308,0.87976,0.81531,0.52586,0.75854,1.53329,0.82468,0.98338,9.61723e-05,9.61723e-05,9.61723e-05
65,241.697,0.72489,1.0869,0.68287,0.99223,0.82309,0.8948,0.87327,0.68834,0.79011,0.85201,0.80081,0.53122,0.74994,1.48253,0.84427,0.97995,9.60515e-05,9.60515e-05,9.60515e-05
66,245.381,0.73121,1.2066,0.76272,1.00941,0.82992,0.88475,0.85865,0.67564,0.77536,0.81869,0.75977,0.51312,0.76677,1.44279,0.86081,0.99533,9.59289e-05,9.59289e-05,9.59289e-05
67,249.044,0.72805,1.18829,0.73714,0.99457,0.80423,0.88893,0.83727,0.64935,0.7549,0.82704,0.74989,0.50738,0.79385,1.46447,0.87218,1.00852,9.58044e-05,9.58044e-05,9.58044e-05
68,252.6,0.77506,1.18659,0.75274,1.01703,0.77697,0.90059,0.85362,0.67287,0.73804,0.84654,0.78383,0.52202,0.76128,1.50408,0.86635,0.99199,9.56782e-05,9.56782e-05,9.56782e-05
69,256.414,0.70543,1.1404,0.69149,0.99769,0.7909,0.88805,0.86844,0.69296,0.78448,0.81279,0.82032,0.53294,0.76762,1.5366,0.86864,0.99251,9.55502e-05,9.55502e-05,9.55502e-05
70,259.966,0.69046,1.12723,0.6953,0.99065,0.80337,0.88777,0.88429,0.68494,0.74034,0.82998,0.8188,0.52864,0.79517,1.54241,0.88777,1.01204,9.54205e-05,9.54205e-05,9.54205e-05
71,263.647,0.72829,1.16016,0.70579,0.9908,0.84638,0.85959,0.88352,0.68742,0.82161,0.80845,0.83374,0.52955,0.80624,1.53673,0.88108,1.01086,9.52889e-05,9.52889e-05,9.52889e-05
72,267.12,0.66477,1.05606,0.68358,0.96388,0.83668,0.85888,0.88084,0.692,0.83138,0.80383,0.82333,0.53597,0.78258,1.52799,0.85395,0.99408,9.51556e-05,9.51556e-05,9.51556e-05
73,270.738,0.69088,1.13524,0.67377,0.98834,0.83475,0.86821,0.87504,0.68844,0.79317,0.8297,0.81689,0.53742,0.7657,1.51848,0.84741,0.98153,9.50206e-05,9.50206e-05,9.50206e-05
74,274.385,0.72902,1.09186,0.6766,0.99336,0.79676,0.86075,0.85872,0.67874,0.82341,0.81762,0.82317,0.53504,0.75097,1.51978,0.89142,0.97682,9.48837e-05,9.48837e-05,9.48837e-05
75,278.06,0.70639,1.07227,0.69172,0.97446,0.81734,0.85682,0.8655,0.69004,0.79758,0.82389,0.80773,0.53217,0.72016,1.50474,0.88722,0.97535,9.47452e-05,9.47452e-05,9.47452e-05
76,281.647,0.69377,1.13635,0.68568,1.00609,0.8468,0.8562,0.87414,0.6864,0.80121,0.81049,0.80303,0.5401,0.72727,1.48646,0.85275,0.98223,9.46048e-05,9.46048e-05,9.46048e-05
